Trait,Person1_Mean,Person1_Std,Person2_Mean,Person2_Std
Intelligence,3.0827142149579,0.503302633790441,2.381376919266964,0.5703005363545773
Determination,2.910351659237246,0.8343390974865124,3.1629519564140662,0.8930379344676685
Calmness,2.9192669638434867,0.7951290372513986,2.3298662704309065,0.8442392274045892
Politeness,2.7795938583457156,1.0007230455806895,1.8593363051015355,0.8970968236071766
Aggression,2.368994551758296,0.986052148677146,3.0108964834076275,1.1660374558930817
Sophistication,2.8697374938088163,0.7675082153890345,1.5745418524021793,0.6931390552104273
Incoherence,1.5557206537890045,0.5509166280345557,3.047052996532937,1.0783319454617262
Rudeness,2.322436849925706,1.1692910803872187,3.2466567607726597,1.2504042821219352
Stupidity,2.1124318969787024,0.5811193358940766,2.87221396731055,0.7113100198116911
Articulation,3.5482912332838037,0.5379740308385725,2.310054482417038,0.681740432167398
Unsophistication,2.4848935116394255,0.7915213651000232,3.930658741951461,0.7569605069322323
Laziness,1.907379891035166,0.6279262673568057,2.789004457652303,0.9865587996131275
